,Route,RSP,REP,DepTime
0,A1,North,South,2023-03-26 05:00:00.000000
0,A1,North,South,2023-03-26 05:08:34.285714
0,A1,North,South,2023-03-26 05:17:08.571428
0,A1,North,South,2023-03-26 05:25:42.857142
0,A1,North,South,2023-03-26 05:34:17.142856
0,A1,North,South,2023-03-26 05:42:51.428570
0,A1,North,South,2023-03-26 05:45:00.000000
0,A1,North,South,2023-03-26 05:50:00.000000
0,A1,North,South,2023-03-26 05:55:00.000000
0,A1,North,South,2023-03-26 06:00:00.000000
0,A1,North,South,2023-03-26 06:05:00.000000
0,A1,North,South,2023-03-26 06:10:00.000000
0,A1,North,South,2023-03-26 06:15:00.000000
0,A1,North,South,2023-03-26 06:20:00.000000
0,A1,North,South,2023-03-26 06:25:00.000000
0,A1,North,South,2023-03-26 06:30:00.000000
0,A1,North,South,2023-03-26 06:35:00.000000
0,A1,North,South,2023-03-26 06:40:00.000000
0,A1,North,South,2023-03-26 06:45:00.000000
0,A1,North,South,2023-03-26 06:50:00.000000
0,A1,North,South,2023-03-26 06:55:00.000000
0,A1,North,South,2023-03-26 07:00:00.000000
0,A1,North,South,2023-03-26 07:05:00.000000
0,A1,North,South,2023-03-26 07:10:00.000000
0,A1,North,South,2023-03-26 07:15:00.000000
0,A1,North,South,2023-03-26 07:20:00.000000
0,A1,North,South,2023-03-26 07:25:00.000000
0,A1,North,South,2023-03-26 07:30:00.000000
0,A1,North,South,2023-03-26 07:35:00.000000
0,A1,North,South,2023-03-26 07:40:00.000000
0,A1,North,South,2023-03-26 07:45:00.000000
0,A1,North,South,2023-03-26 07:50:00.000000
0,A1,North,South,2023-03-26 07:55:00.000000
0,A1,North,South,2023-03-26 08:00:00.000000
0,A1,North,South,2023-03-26 08:00:00.000000
0,A1,North,South,2023-03-26 08:10:00.000000
0,A1,North,South,2023-03-26 08:20:00.000000
0,A1,North,South,2023-03-26 08:30:00.000000
0,A1,North,South,2023-03-26 08:40:00.000000
0,A1,North,South,2023-03-26 08:50:00.000000
